"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
77.5,95,95,95,90,89,99,90,85,12,100,77.7777777777778,90,20,71.2,87.3,100,89,97,92.25,89.2592592592593,100,93.1138888888889,"A"
62.5,90,52.4,90,54,75,25,0,60,11,50,11.1111111111111,0,1,21.6,23.4,5,27,26,63.6125,20.7037037037037,100,44.0893055555556,"F"
80,85,85,90,72,95,92,100,60,12,79.1666666666667,72.2222222222222,55,18,65.6,65.7,90,82,73,87.375,68.7962962962963,100,81.1819444444444,"B-"
0,62.5,10,55,66,0,0,60,30,7,75,0,15,8,32.8,29.25,40,41,32.5,35.4375,32.6666666666667,20,33.85625,"F"
87.5,85,100,100,95,90,100,90,80,12,100,83.3333333333333,65,19,49.6,62.1,95,62,69,93.4375,82.7777777777778,100,80.0979166666667,"B-"
77.5,95,75,100,100,90,97.5,95,100,12,100,88.8888888888889,95,17,56,73.8,85,70,82,94.375,94.6296296296296,100,87.0069444444444,"B+"
92.5,100,100,100,100,93,88,100,80,12,66.6666666666667,27.7777777777778,75,18,64.8,69.75,90,81,77.5,96.6875,56.4814814814815,100,83.0534722222222,"B"
88.5,100,100,100,100,99,100,100,100,12,100,100,85,18,68,77.4,90,85,86,99.875,95,100,92.7125,"A"
50,100,97.5,75,76.25,94,77,93.5,75,12,91.6666666666667,100,90,20,70.4,76.5,100,88,85,86.03125,93.8888888888889,100,88.7427083333333,"A-"
80,100,77.5,77.5,95,90,95,80,0,9,66.6666666666667,77.7777777777778,67.5,0,76,58.95,0,95,65.5,86.875,70.6481481481482,60,78.0347222222222,"C+"
77.5,90,100,100,90,95,97,100,100,12,75,77.7777777777778,80,18,64.8,59.85,90,81,66.5,96.5,77.5925925925926,100,83.4138888888889,"B"
86,97.5,100,90,100,98,97,100,100,12,83.3333333333333,100,90,20,77.6,80.1,100,97,89,97.8125,91.1111111111111,100,94.6604166666667,"A"
100,100,97.5,100,100,100,100,100,100,12,100,100,100,20,80,85.5,100,100,95,100,100,100,98.75,"A+"
95,85,100,100,100,93,100,90,100,12,100,100,90,20,72,84.6,100,90,94,97.25,96.6666666666667,100,95.175,"A+"
100,99,100,90,100,99,100,95,99,12,100,88.8888888888889,95,19,72,78.3,95,90,87,99,94.6296296296296,100,93.6444444444444,"A"
60,100,92.5,100,100,94,100,80,100,12,75,50,45,13,62.4,75.6,65,78,84,95.8125,56.6666666666667,100,83.84375,"B"
87.5,92.5,100,80,95,89,95,95,90,12,83.3333333333333,77.7777777777778,65,14,55.2,79.2,70,69,88,93,75.3703703703704,100,85.0055555555556,"B"
